"","date","nz","new","stock_out","stock_in","prop","event_time"
"1",2020-04-02,1,1680,17731,27644,0.094749309119621,-112
"2",2020-04-09,1,1117,18433,26942,0.0605978408289481,-105
"3",2020-04-16,1,1258,20212,25162,0.0622402533148625,-98
"4",2020-04-23,1,1293,20664,24710,0.0625725900116144,-91
"5",2020-04-30,1,1389,20676,24698,0.0671793383633198,-84
"6",2020-05-07,1,1642,20353,25021,0.0806760674102098,-77
"7",2020-05-14,1,1335,20220,25153,0.0660237388724036,-70
"8",2020-05-21,1,1175,19890,25483,0.0590749120160885,-63
"9",2020-05-28,1,1331,19745,25627,0.0674094707520891,-56
"10",2020-06-04,1,1968,19388,25984,0.101506086238911,-49
"11",2020-06-11,1,1403,18294,27078,0.0766918115229037,-42
"12",2020-06-18,1,1329,17981,27391,0.0739113508703632,-35
"13",2020-06-25,1,2572,17544,27829,0.146602827177383,-28
"14",2020-07-02,1,2412,16186,29188,0.149017669591005,-21
"15",2020-07-09,1,1123,14960,30413,0.0750668449197861,-14
"16",2020-07-16,1,1216,15442,29932,0.0787462763890688,-7
"17",2020-07-23,1,1199,15443,29931,0.0776403548533316,0
"18",2020-07-30,1,1114,15238,30135,0.0731067069169182,7
"19",2020-08-06,1,1712,15203,30170,0.112609353417089,14
"20",2020-08-13,1,1094,14548,30825,0.0751993401154798,21
"21",2020-08-20,1,1285,14731,30642,0.0872310094358835,28
"22",2020-08-27,1,1114,14423,30951,0.0772377452679748,35
"23",2020-09-03,1,1403,14351,31022,0.0977632220751167,42
"24",2020-09-10,1,1110,13825,31547,0.0802893309222423,49
"25",2020-09-17,1,1256,14071,31300,0.0892616018761993,56
"26",2020-09-24,1,1173,13747,31624,0.0853277078635339,63
"27",2020-10-01,1,1504,13614,31758,0.110474511532246,70
"28",2020-10-08,1,1185,13169,32204,0.0899840534588807,77
"29",2020-10-15,1,1341,13680,31693,0.0980263157894737,84
"30",2020-10-22,1,1304,13497,31876,0.0966140623842335,91
"31",2020-10-29,1,1224,13279,32094,0.0921756156337074,98
"32",2020-11-05,1,1565,13092,32281,0.119538649556981,105
"33",2020-11-12,1,1478,12958,32415,0.114060811853681,112
"34",2020-11-19,1,1206,12571,32802,0.0959350886962056,119
"35",2020-11-26,1,1230,12399,32974,0.0992015485119768,126
"36",2020-04-02,0,1995,18023,27365,0.110691893691394,-112
"37",2020-04-09,0,1159,18345,27042,0.063177977650586,-105
"38",2020-04-16,0,1245,20100,25288,0.0619402985074627,-98
"39",2020-04-23,0,1275,20457,24930,0.0623258542308256,-91
"40",2020-04-30,0,1389,20494,24893,0.0677759344198302,-84
"41",2020-05-07,0,1733,20052,25335,0.086425294234989,-77
"42",2020-05-14,0,1305,19930,25458,0.0654791771199197,-70
"43",2020-05-21,0,1120,19505,25883,0.0574211740579339,-63
"44",2020-05-28,0,1198,19314,26073,0.0620275447861655,-56
"45",2020-06-04,0,2041,19034,26353,0.107229168855732,-49
"46",2020-06-11,0,1258,17936,27451,0.0701382694023194,-42
"47",2020-06-18,0,1328,17783,27604,0.0746780633189001,-35
"48",2020-06-25,0,2804,17409,27978,0.161066115227756,-28
"49",2020-07-02,0,2390,15673,29714,0.152491545970778,-21
"50",2020-07-09,0,1110,14518,30869,0.07645681223309,-14
"51",2020-07-16,0,1093,15139,30248,0.0721976352467138,-7
"52",2020-07-23,0,1182,15336,30051,0.0770735524256651,0
"53",2020-07-30,0,1142,15140,30247,0.0754293262879789,7
"54",2020-08-06,0,1533,15056,30331,0.101819872476089,14
"55",2020-08-13,0,984,14563,30824,0.0675684955023003,21
"56",2020-08-20,0,1153,14907,30480,0.077346213188435,28
"57",2020-08-27,0,1033,14685,30702,0.0703438883214164,35
"58",2020-09-03,0,1381,14744,30643,0.0936652197504069,42
"59",2020-09-10,0,1037,14214,31173,0.0729562403264387,49
"60",2020-09-17,0,1154,14573,30814,0.0791875385987786,56
"61",2020-09-24,0,1075,14281,31105,0.0752748406974302,63
"62",2020-10-01,0,1500,14361,31025,0.104449550866931,70
"63",2020-10-08,0,1162,13952,31434,0.0832855504587156,77
"64",2020-10-15,0,1428,14715,30671,0.0970438328236493,84
"65",2020-10-22,0,1098,14382,31004,0.0763454317897372,91
"66",2020-10-29,0,1180,14453,30933,0.0816439493530755,98
"67",2020-11-05,0,1499,14252,31135,0.105178220600617,105
"68",2020-11-12,0,1324,14071,31316,0.0940942363726814,112
"69",2020-11-19,0,1189,13911,31476,0.0854719286895263,119
"70",2020-11-26,0,1183,13785,31602,0.0858179180268408,126
