y0,y1,y0,y1,d_actual,d_hat,unexplained,0_14,15_34,35_54,55_64,65p,t
1999,2000,109945,110000,-0.256352179641519,-0.283211627425898,0.0268594477843789,-0.101047189359522,-0.226824394691374,-0.089439752266187,0.0260766433132986,-0.0376455712360343,0.14566863681392
2000,2001,110000,110055,0.42607165000759,-0.198787097796024,0.624858747803613,-0.0996501741911558,-0.154449580924976,-0.0879827148179297,0.019217106928877,-0.0213430363093856,0.145421301518547
2001,2002,110055,110110,-0.121131828895562,-0.0368647085745684,-0.0842671203209938,-0.0860659052079166,-0.0514823265264848,-0.051669790212104,0.056105225192949,-0.0370328211397055,0.133280909318694
2002,2003,110110,110165,-0.371600807451012,-0.040201603537751,-0.331399203913261,-0.0863814810418112,-0.0444809204084147,-0.0563475617280198,0.0451589104137093,-0.0368908834610246,0.13874033268781
2003,2004,110165,110220,0.0299977071712641,-0.109357975131526,0.13935568230279,-0.0914724916151502,-0.0919386518653686,-0.070637177740646,0.0314715252483311,-0.0296053738205927,0.142824194661901
2004,2005,110220,110275,-0.103277892298734,-0.0863041848505441,-0.0169737074481895,-0.0914486455967407,-0.0702459648152597,-0.0701810229984281,0.0296317238274729,-0.0273102256096385,0.14324995034205
2005,2006,110275,110330,-0.296855794901885,-0.133090809941637,-0.163764984960248,-0.0857595631734223,-0.115207260209582,-0.0706307025793482,0.0234894901429962,-0.0336049989347448,0.148622224812464
2006,2007,110330,110385,-0.117798842354258,-0.03232120874646,-0.0854776336077981,-0.0657474164607677,-0.0565771597322392,-0.0574299802954741,0.010322860504747,-0.0170617750770106,0.154172262314285
2007,2008,110385,110440,-0.139609501053758,0.131913646197139,-0.271523147250897,-0.0374053229570586,0.0441532451948016,-0.0217598362140405,0.019156716175905,-0.0297962600559809,0.157565104053513
2008,2009,110440,110495,0.81133951538949,0.218581349916986,0.592758165472504,-0.0360780340907806,0.126139201687082,-0.0278073556068877,-0.00352114856289789,-0.00268404393339961,0.16253273042387
2009,2010,110495,110550,0.178713618086671,0.0569554939093238,0.121758124177347,-0.056151198312438,0.000779299524140304,-0.0589660791166487,-0.0103033464145272,0.0266428103255842,0.154954007903213
2010,2011,110550,110605,-0.272741220736798,0.00354825852271862,-0.276289479259517,-0.0634217112395486,-0.0397643385803175,-0.06958408836548,-0.0122083119427184,0.036337625664996,0.152189082985787
2011,2012,110605,110660,0.0660752983308615,0.122555275688342,-0.0564799773574801,-0.0224151929116864,0.00739748893021666,-0.0502967066656586,-0.0462951930370724,0.0662990340655561,0.167865845306986
2012,2013,110660,110715,0.0922615519316991,0.134724351817336,-0.0424627998856369,-0.00712762935990242,-0.0140986324141091,-0.0286825019961791,-0.0274376012831108,0.0464294803995178,0.16564123647112
2013,2014,110715,110770,0.10850639791929,0.101528345241312,0.00697805267797754,-0.0153897344400883,-0.0341979970107918,-0.0333843914629129,-0.0201777351506095,0.0431427885607241,0.161535414744991
2014,2015,110770,110825,0.272828377298203,0.0830053245850089,0.189823052713194,-0.018478629833516,-0.0445335501086722,-0.036987956159375,-0.0210688116116988,0.0423917321030557,0.161682540195215
2015,2016,110825,110880,0.125358886692948,0.0574632762480932,0.0678956104448549,-0.00866019074663801,-0.0868438383042192,-0.0308143149638162,-0.0194816870956136,0.0406589172550314,0.162604390103349
2016,2017,110880,110935,-0.170108890042603,-0.00481052541507122,-0.165298364627532,-0.0385924050950413,-0.0837481399403607,-0.0529275765452267,-0.0166375718671692,0.026725553289192,0.160369614743535
2017,2018,110935,110990,-0.176933920381876,-0.069616417734128,-0.107317502647748,-0.0615920800865672,-0.0992602314436856,-0.0775491126105282,-0.0247859613572771,0.0345533584356216,0.159017609328309
2018,2019,110990,111045,-0.0412056929478207,-0.106066725769239,0.0648610328214181,-0.0739196679677035,-0.110590604724405,-0.0895912011669296,-0.0264488461121637,0.03715487545217,0.157328718749793
